[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:36.998690
[b'228', b'228', b'228', b'228', b'024', b'001', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:37.605479
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:38.213223
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:38.820566
[b'228', b'228', b'228', b'228', b'024', b'001', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:39.426711
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:40.033219
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:40.641213
[b'228', b'228', b'228', b'228', b'024', b'003', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:41.248674
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:41.855409
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:42.461692
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:43.069660
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:43.676591
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:44.283076
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:44.890798
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:45.497627
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:46.105645
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:46.713179
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:47.320545
[b'228', b'228', b'160', b'355', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:47.926947
[b'228', b'228', b'100', b'247', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:48.533684
[b'228', b'228', b'161', b'113', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:49.141797
[b'228', b'228', b'343', b'160', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:49.748835
[b'228', b'228', b'107', b'298', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:50.355726
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:50.963953
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:51.569865
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:52.177833
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:52.785884
[b'228', b'253', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:53.391996
[b'299', b'294', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:53.999217
[b'100', b'239', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:54.606820
[b'220', b'234', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:55.214015
[b'283', b'247', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:55.821323
[b'301', b'355', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:56.428394
[b'209', b'260', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:57.035694
[b'233', b'226', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:57.643665
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:58.249728
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:58.857353
[b'228', b'227', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:22:59.464700
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:00.072729
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:00.680746
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:01.287546
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:01.895762
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:02.503348
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:03.110722
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:03.717072
[b'228', b'227', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:04.323679
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:04.930053
[b'228', b'227', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:05.537218
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:06.144808
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:06.751373
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:07.357818
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:07.965304
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:08.573502
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:09.182137
[b'228', b'227', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:09.789943
[b'228', b'227', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:10.397605
[b'228', b'228', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:11.004839
[b'228', b'222', b'228', b'228', b'025', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:11.612159
[b'228', b'216', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:12.218600
[b'228', b'221', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:12.826918
[b'228', b'227', b'228', b'228', b'024', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:13.433960
[b'228', b'226', b'228', b'228', b'025', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:14.042704
[b'228', b'225', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:14.648731
[b'228', b'227', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:15.255066
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:15.862663
